"COD. IBGE";"UF";"NOME DA CIDADE"
1200013;"AC";"ACRELÂNDIA"
1200054;"AC";"ASSIS BRASIL"
1200104;"AC";"BRASILEIA"
1200138;"AC";"BUJARI"
1200179;"AC";"CAPIXABA"
1200203;"AC";"CRUZEIRO DO SUL"
1200252;"AC";"EPITACIOLÂNDIA"
1200302;"AC";"FEIJÓ"
1200328;"AC";"JORDÃO"
1200336;"AC";"MÂNCIO LIMA"
1200344;"AC";"MANOEL URBANO"
1200351;"AC";"MARECHAL THAUMATURGO"
1200385;"AC";"PLÁCIDO DE CASTRO"
1200807;"AC";"PORTO ACRE"
1200393;"AC";"PORTO WALTER"
1200401;"AC";"RIO BRANCO"
1200427;"AC";"RODRIGUES ALVES"
1200435;"AC";"SANTA ROSA DO PURUS"
1200450;"AC";"SENADOR GUIOMARD"
1200500;"AC";"SENA MADUREIRA"
1200609;"AC";"TARAUACÁ"
1200708;"AC";"XAPURI"
2700102;"AL";"ÁGUA BRANCA"
2700201;"AL";"ANADIA"
2700300;"AL";"ARAPIRACA"
2700409;"AL";"ATALAIA"
2700508;"AL";"BARRA DE SANTO ANTÔNIO"
2700607;"AL";"BARRA DE SÃO MIGUEL"
2700706;"AL";"BATALHA"
2700805;"AL";"BELÉM"
2700904;"AL";"BELO MONTE"
2701001;"AL";"BOCA DA MATA"
2701100;"AL";"BRANQUINHA"
2701209;"AL";"CACIMBINHAS"
2701308;"AL";"CAJUEIRO"
2701357;"AL";"CAMPESTRE"
2701407;"AL";"CAMPO ALEGRE"
2701506;"AL";"CAMPO GRANDE"
2701605;"AL";"CANAPI"
2701704;"AL";"CAPELA"
2701803;"AL";"CARNEIROS"
2701902;"AL";"CHÃ PRETA"
2702009;"AL";"COITÉ DO NÓIA"
2702108;"AL";"COLÔNIA LEOPOLDINA"
2702207;"AL";"COQUEIRO SECO"
2702306;"AL";"CORURIPE"
2702355;"AL";"CRAÍBAS"
2702405;"AL";"DELMIRO GOUVEIA"
2702504;"AL";"DOIS RIACHOS"
2702553;"AL";"ESTRELA DE ALAGOAS"
2702603;"AL";"FEIRA GRANDE"
2702702;"AL";"FELIZ DESERTO"
2702801;"AL";"FLEXEIRAS"
2702900;"AL";"GIRAU DO PONCIANO"
2703007;"AL";"IBATEGUARA"
2703106;"AL";"IGACI"
2703205;"AL";"IGREJA NOVA"
2703304;"AL";"INHAPI"
2703403;"AL";"JACARÉ DOS HOMENS"
2703502;"AL";"JACUÍPE"
2703601;"AL";"JAPARATINGA"
2703700;"AL";"JARAMATAIA"
2703759;"AL";"JEQUIA DA PRAIA"
2703809;"AL";"JOAQUIM GOMES"
2703908;"AL";"JUNDIÁ"
2704005;"AL";"JUNQUEIRO"
2704104;"AL";"LAGOA DA CANOA"
2704203;"AL";"LIMOEIRO DE ANADIA"
2704302;"AL";"MACEIÓ"
2704401;"AL";"MAJOR ISIDORO"
2704500;"AL";"MARAGOGI"
2704609;"AL";"MARAVILHA"
2704708;"AL";"MARECHAL DEODORO"
2704807;"AL";"MARIBONDO"
2704906;"AL";"MAR VERMELHO"
2705002;"AL";"MATA GRANDE"
2705101;"AL";"MATRIZ DE CAMARAGIBE"
2705200;"AL";"MESSIAS"
2705309;"AL";"MINADOR DO NEGRAO"
2705408;"AL";"MONTEIRÓPOLIS"
2705507;"AL";"MURICI"
2705606;"AL";"NOVO LINO"
2705705;"AL";"OLHO D ÁGUA DAS FLORES"
2705804;"AL";"OLHO D ÁGUA DO CASADO"
2705903;"AL";"OLHO D ÁGUA GRANDE"
2706000;"AL";"OLIVENCA"
2706109;"AL";"OURO BRANCO"
2706208;"AL";"PALESTINA"
2706307;"AL";"PALMEIRA DOS ÍNDIOS"
2706406;"AL";"PÃO DE AÇÚCAR"
2706422;"AL";"PARICONHA"
2706448;"AL";"PARIPUEIRA"
2706505;"AL";"PASSO DE CAMARAGIBE"
2706604;"AL";"PAULO JACINTO"
2706703;"AL";"PENEDO"
2706802;"AL";"PIACABUÇU"
2706901;"AL";"PILAR"
2707008;"AL";"PINDOBA"
2707107;"AL";"PIRANHAS"
2707206;"AL";"POÇO DAS TRINCHEIRAS"
2707305;"AL";"PORTO CALVO"
2707404;"AL";"PORTO DE PEDRAS"
2707503;"AL";"PORTO REAL DO COLÉGIO"
2707602;"AL";"QUEBRÂNGULO"
2707701;"AL";"RIO LARGO"
2707800;"AL";"ROTEIRO"
2707909;"AL";"SANTA LUZIA DO NORTE"
2708006;"AL";"SANTANA DO IPANEMA"
2708105;"AL";"SANTANA DO MUNDAÚ"
2708204;"AL";"SÃO BRÁS"
2708303;"AL";"SÃO JOSÉ DA LAJE"
2708402;"AL";"SÃO JOSÉ DA TAPERA"
2708501;"AL";"SÃO LUÍS DO QUITUNDE"
2708600;"AL";"SÃO MIGUEL DOS CAMPOS"
2708709;"AL";"SÃO MIGUEL DOS MILAGRES"
2708808;"AL";"SÃO SEBASTIÃO"
2708907;"AL";"SATUBA"
2708956;"AL";"SENADOR RUI PALMEIRA"
2709004;"AL";"TANQUE D ARCA"
2709103;"AL";"TAQUARANA"
2709152;"AL";"TEOTÔNIO VILELA"
2709202;"AL";"TRAIPU"
2709301;"AL";"UNIÃO DOS PALMARES"
2709400;"AL";"VIÇOSA"
1600105;"AP";"AMAPA"
1600204;"AP";"CALCOENE"
1600212;"AP";"CUTIAS"
1600238;"AP";"FERREIRA GOMES"
1600253;"AP";"ITAUBAL"
1600279;"AP";"LARANJAL DO JARI"
1600303;"AP";"MACAPA"
1600402;"AP";"MAZAGAO"
1600501;"AP";"OIAPOQUE"
1600154;"AP";"PEDRA BRANCA DO AMAPARI"
1600535;"AP";"PORTO GRANDE"
1600550;"AP";"PRACUUBA"
1600600;"AP";"SANTANA"
1600055;"AP";"SERRA DO NAVIO"
1600709;"AP";"TARTARUGALZINHO"
1600808;"AP";"VITORIA DO JARI"
1300029;"AM";"ALVARÃES"
1300060;"AM";"AMATURÁ"
1300086;"AM";"ANAMÃ"
1300102;"AM";"ANORI"
1300144;"AM";"APUÍ"
1300201;"AM";"ATALAIA DO NORTE"
1300300;"AM";"AUTAZES"
1300409;"AM";"BARCELOS"
1300508;"AM";"BARREIRINHA"
1300607;"AM";"BENJAMIN CONSTANT"
1300631;"AM";"BERURI"
1300680;"AM";"BOA VISTA DO RAMOS"
1300706;"AM";"BOCA DO ACRE"
1300805;"AM";"BORBA"
1300839;"AM";"CAAPIRANGA"
1300904;"AM";"CANUTAMA"
1301001;"AM";"CARAUARI"
1301100;"AM";"CAREIRO"
1301159;"AM";"CAREIRO DA VÁRZEA"
1301209;"AM";"COARI"
1301308;"AM";"CODAJÁS"
1301407;"AM";"EIRUNEPÉ"
1301506;"AM";"ENVIRA"
1301605;"AM";"FONTE BOA"
1301654;"AM";"GUAJARÁ"
1301704;"AM";"HUMAITÁ"
1301803;"AM";"IPIXUNA"
1301852;"AM";"IRANDUBA"
1301902;"AM";"ITACOATIARA"
1301951;"AM";"ITAMARATI"
1302009;"AM";"ITAPIRANGA"
1302108;"AM";"JAPURÁ"
1302207;"AM";"JURUÁ"
1302306;"AM";"JUTAÍ"
1302405;"AM";"LÁBREA"
1302504;"AM";"MANACAPURU"
1302553;"AM";"MANAQUIRI"
1302603;"AM";"MANAUS"
1302702;"AM";"MANICORÉ"
1302801;"AM";"MARAÃ"
1302900;"AM";"MAUÉS"
1303007;"AM";"NHAMUNDÁ"
1303106;"AM";"NOVA OLINDA DO NORTE"
1303205;"AM";"NOVO AIRAO"
1303304;"AM";"NOVO ARIPUANA"
1303403;"AM";"PARINTINS"
1303502;"AM";"PAUINI"
